,id,createdTime,lastRefresh,price,location,url,price_per_m,floor_select,furniture,market,builttype,m,rooms
0,767922979,2022-07-10T12:31:36+02:00,2022-10-03T12:47:02+02:00,599000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-66-4-m2-z-garazem-19-77-m2-zupelnie-bezczynszowe-CID3-IDPY7Qw.html,9021.08,floor_1,yes,secondary,pozostale,66.4,three
1,781067408,2022-09-11T19:49:23+02:00,2022-10-05T21:52:21+02:00,190000,Lublin,http://www.olx.pl/d/oferta/okazja-5-min-do-centrum-pelna-wlasnosc-balkon-CID3-IDQRhjq.html,8636.36,floor_0,yes,secondary,blok,22,one
2,774313805,2022-08-10T20:27:24+02:00,2022-10-01T18:08:06+02:00,325000,Lublin,http://www.olx.pl/d/oferta/okazja-przestronne-mieszkanie-60m2-3-pokoje-os-pogodna-lublin-CID3-IDQoVol.html,5416.67,floor_4,yes,secondary,blok,60,three
3,779981888,2022-09-06T21:03:48+02:00,2022-10-06T18:58:59+02:00,525000,Lublin,http://www.olx.pl/d/oferta/2-pokojowe-mieszkanie-z-miejsce-parkingowym-na-osiedlu-nowy-felin-CID3-IDQMIW2.html,12583.89,floor_2,yes,secondary,blok,41.72,two
4,773969765,2022-08-09T11:29:19+02:00,2022-10-06T18:48:48+02:00,475000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-60-69m-CID3-IDQnuTj.html,7826.66,floor_1,yes,secondary,blok,60.69,three
5,783301393,2022-09-20T18:33:08+02:00,2022-10-06T18:42:06+02:00,985000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-70m2-standard-premium-osiedle-kameralny-slawin-CID3-IDR0Etr.html,14071.43,floor_3,yes,secondary,blok,70,three
6,783403070,2022-09-21T09:31:09+02:00,2022-10-06T18:00:42+02:00,357000,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-lublin-wrotkow-ul-samsonowicza-40m2-CID3-IDR14Wo.html,8925,floor_0,no,secondary,blok,40,two
7,783312732,2022-09-20T19:14:22+02:00,2022-10-06T17:59:13+02:00,517000,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-50m2-pierwsze-pietro-CID3-IDR0Hqk.html,10340,floor_1,no,secondary,blok,50,three
8,785338911,2022-09-29T15:29:18+02:00,2022-10-06T17:36:21+02:00,365000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-dla-inwestora-3-pokoje-65-m2-CID3-IDR9cvD.html,5615.38,floor_4,yes,secondary,blok,65,three
9,771776798,2022-07-29T11:20:01+02:00,2022-09-30T15:42:09+02:00,410000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-48m2-ul-braci-wieniawskich-CID3-IDQeioS.html,8541.67,floor_3,yes,secondary,blok,48,three
10,780985352,2022-09-11T15:47:46+02:00,2022-10-05T17:48:50+02:00,339996,Lublin,http://www.olx.pl/d/oferta/top-lokalizacja-CID3-IDQQWXV.html,9361.12,floor_1,no,secondary,kamienica,36.32,two
11,786042607,2022-10-02T19:00:37+02:00,2022-10-04T21:08:34+02:00,410000,Lublin,http://www.olx.pl/d/oferta/widne-mieszkanie-2-pokojowe-na-sprzedaz-lublin-bronowice-CID3-IDRc9Az.html,8167.33,floor_7,no,secondary,blok,50.2,two
12,776576768,2022-08-22T12:31:36+02:00,2022-10-06T15:40:43+02:00,359000,Lublin,http://www.olx.pl/d/oferta/bardzo-atrakcyjne-mieszkanie-38-m2-krasinskiego-10-bez-posrednikow-CID3-IDQyr5K.html,9447.37,floor_0,yes,secondary,blok,38,two
13,785697345,2022-10-01T11:10:58+02:00,2022-10-01T11:16:48+02:00,432000,Lublin,http://www.olx.pl/d/oferta/ul-przyjazni-3-pokoje-CID3-IDRaHLP.html,8014.84,,yes,secondary,blok,53.9,three
14,775669055,2022-08-17T22:08:36+02:00,2022-10-01T10:34:38+02:00,505000,Lublin,http://www.olx.pl/d/oferta/do-negocjacji-3-pokojowe-mieszkanie-jantarowa-CID3-IDQuCXd.html,8516.02,floor_2,yes,secondary,blok,59.3,three
15,780677837,2022-09-10T11:17:26+02:00,2022-10-04T13:20:21+02:00,469000,Lublin,http://www.olx.pl/d/oferta/wykonczone-42m2-2-pietro-blok-2022-bez-pcc-CID3-IDQPDY1.html,11166.67,floor_2,yes,secondary,blok,42,two
16,770217015,2022-07-21T08:00:07+02:00,2022-10-06T15:23:28+02:00,300000,Lublin,http://www.olx.pl/d/oferta/2-pok-mieszkanie-300000-CID3-IDQ7KD5.html,7500,,no,secondary,blok,40,two
17,783315163,2022-09-20T19:24:22+02:00,2022-10-06T14:59:49+02:00,439000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-47m2-czechow-bez-posrednikow-CID3-IDR0I3x.html,9340.43,floor_10,no,secondary,blok,47,two
18,742022990,2022-03-08T11:28:33+01:00,2022-10-06T12:54:51+02:00,373000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-okopowa-CID3-IDOds4K.html,9815.79,floor_3,yes,secondary,blok,38,two
19,784722735,2022-09-26T23:32:24+02:00,2022-09-26T23:37:08+02:00,330000,Lublin,http://www.olx.pl/d/oferta/okazja-kawalerka-aleje-raclawickie-najlepsza-lokalizacja-CID3-IDR6Cej.html,10819.67,floor_0,no,secondary,blok,30.5,one
20,758324841,2022-05-23T19:22:27+02:00,2022-10-05T19:17:00+02:00,529999,Lublin,http://www.olx.pl/d/oferta/czuby-wysoki-standard-62-5-m2-bezposrednio-CID3-IDPjQWP.html,8479.98,floor_0,no,secondary,blok,62.5,three
21,780592234,2022-09-09T19:03:33+02:00,2022-10-06T21:04:47+02:00,323000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-przy-politechnice-doskonala-inwestycja-CID3-IDQPhHk.html,8075,floor_7,no,secondary,blok,40,two
22,719652980,2021-11-25T12:19:41+01:00,2022-10-06T12:54:16+02:00,399000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokoje-inwestycyjne-prusa-CID3-IDMHAC8.html,7673.08,floor_4,yes,secondary,blok,52,two
23,745162550,2022-03-22T14:16:58+01:00,2022-10-06T12:51:01+02:00,315000,Lublin,http://www.olx.pl/d/oferta/kawalerka-studio-wyzynna-CID3-IDOqCOO.html,8160.62,floor_0,yes,secondary,blok,38.6,one
24,783477407,2022-09-21T13:33:59+02:00,2022-10-06T11:55:16+02:00,415000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-4-pokoje-58-6mkw-w-poblizu-akademii-medycznej-CID3-IDR1ogn.html,7081.91,floor_1,yes,secondary,blok,58.6,four
25,709347356,2021-10-14T12:06:42+02:00,2022-10-06T11:30:14+02:00,419000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-lsm-CID3-IDM0lEo.html,7299.65,floor_2,yes,secondary,blok,57.4,three
26,786840327,2022-10-05T23:34:42+02:00,2022-10-06T11:29:38+02:00,599000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-lublin-czuby-cyrkoniowa-CID3-IDRfw71.html,10152.54,floor_1,yes,secondary,blok,59,three
27,785313175,2022-09-29T13:46:09+02:00,2022-10-05T14:32:46+02:00,329900,Lublin,http://www.olx.pl/d/oferta/nowe-2-pok-z-ogrodkiem-ul-koralowa-weglinek-czuby-CID3-IDR95Px.html,8573.28,floor_0,no,primary,blok,38.48,two
28,785784923,2022-10-01T17:08:19+02:00,2022-10-05T19:12:34+02:00,429000,Lublin,http://www.olx.pl/d/oferta/rezerwacja-jasne-i-przytulne-mieszkanie-czuby-ruta-2-pokoje-CID3-IDRb4yn.html,9031.58,floor_0,yes,secondary,blok,47.5,two
29,786913826,2022-10-06T10:28:38+02:00,2022-10-06T10:32:57+02:00,439000,Lublin,http://www.olx.pl/d/oferta/sloneczne-i-ustawne-mieszkanie-trzypokojowe-balkon-garaz-os-borek-CID3-IDRfOeu.html,7316.67,floor_0,no,secondary,blok,60,three
30,783660963,2022-09-22T09:49:35+02:00,2022-09-22T09:54:42+02:00,389000,Lublin,http://www.olx.pl/d/oferta/lublin-mieszkanie-58-m2-w-dobrej-lokalizacji-CID3-IDR2a0X.html,6753.47,floor_5,yes,secondary,blok,57.6,three
