,id,createdTime,lastRefresh,price,location,url,price_per_m,floor_select,furniture,market,builttype,m,rooms
0,744501317,2022-03-19T16:22:12+01:00,2022-08-07T14:48:18+02:00,339000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokoje-39-m2-lublin-tumidajskiego-sprzedam-bezposrednio-CID3-IDOnQNL.html,8692.31,floor_7,no,secondary,blok,39,two
1,772963603,2022-08-03T22:57:03+02:00,2022-08-07T01:00:34+02:00,349700,Lublin,http://www.olx.pl/d/oferta/lsm-2-pokoje-swietny-uklad-CID3-IDQjh8T.html,10760,,no,secondary,blok,32.5,two
2,754917703,2022-05-07T14:00:07+02:00,2022-07-26T09:16:23+02:00,289000,Lublin,http://www.olx.pl/d/oferta/sprzedam-2-pokoje-51-m-bronowice-pilne-CID3-IDP5yzZ.html,5666.67,floor_1,yes,secondary,kamienica,51,three
3,735788601,2022-02-08T10:30:45+01:00,2022-08-08T17:05:35+02:00,499000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokoje-w-apartamentowcu-wieniawa-CID3-IDNNie5.html,12475,floor_2,yes,secondary,apartamentowiec,40,two
4,770978611,2022-07-25T14:12:45+02:00,2022-08-08T16:28:20+02:00,513000,Lublin,http://www.olx.pl/d/oferta/super-mieszkanie-54m-3-pokojowe-przy-sielankowej-CID3-IDQaVKT.html,9500,floor_0,no,secondary,blok,54,three
5,773823133,2022-08-08T16:21:44+02:00,2022-08-08T16:23:51+02:00,239000,Lublin,http://www.olx.pl/d/oferta/kawalerka-19m2-ul-pawia-CID3-IDQmSKh.html,12578.95,floor_2,yes,secondary,kamienica,19,one
6,769316184,2022-07-16T15:37:02+02:00,2022-07-16T15:44:52+02:00,495000,Lublin,http://www.olx.pl/d/oferta/3-pokojowe-mieszkanie-dziewanny-do-wprowadzenia-bez-wkladu-finansowego-CID3-IDQ3Yhy.html,7994.19,floor_1,yes,secondary,blok,61.92,three
7,730641423,2022-01-17T18:21:23+01:00,2022-08-04T15:50:19+02:00,485000,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-48m-perly-kaliny-CID3-IDNrHd5.html,10104.17,floor_8,yes,secondary,apartamentowiec,48,two
8,772483010,2022-08-01T18:52:20+02:00,2022-08-07T20:56:28+02:00,1222000,Lublin,http://www.olx.pl/d/oferta/m3-idealna-lokalizacja-CID3-IDQhg7o.html,13000,floor_3,no,secondary,kamienica,94,three
9,770240747,2022-07-21T10:38:28+02:00,2022-08-08T15:12:42+02:00,200000,Lublin,http://www.olx.pl/d/oferta/kawalerka-z-balkonem-parter-22m2-tatary-ul-gospodarcza-CID3-IDQ7QNR.html,9090.91,floor_0,no,secondary,blok,22,one
10,758324841,2022-05-23T19:22:27+02:00,2022-08-08T14:56:24+02:00,529999,Lublin,http://www.olx.pl/d/oferta/czuby-wysoki-standard-62-5-m2-bezposrednio-CID3-IDPjQWP.html,8479.98,floor_0,no,secondary,blok,62.5,three
11,750814321,2022-04-16T14:48:53+02:00,2022-08-08T14:15:56+02:00,394000,Lublin,http://www.olx.pl/d/oferta/centrum-ul-lipowa-17-przy-ch-plaza-wlasnosciowe-z-kw-CID3-IDOOl6p.html,10423.28,floor_4,no,secondary,blok,37.8,two
