,id,createdTime,lastRefresh,price,location,url,price_per_m,floor_select,furniture,market,builttype,m,rooms
0,778995532,2022-09-02T12:43:45+02:00,2022-09-10T14:59:30+02:00,389000,Lublin,http://www.olx.pl/d/oferta/niebanalne-mieszkanie-CID3-IDQIAk4.html,7780,floor_3,yes,secondary,blok,50,three
1,780727794,2022-09-10T14:13:29+02:00,2022-09-10T14:18:29+02:00,560000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3pok-garaz-piwnica-gesia-weglin-CID3-IDQPQXM.html,8981.56,floor_2,yes,secondary,blok,62.35,three
2,741702732,2022-03-06T18:15:53+01:00,2022-09-10T16:15:06+02:00,424125,Lublin,http://www.olx.pl/d/oferta/mieszkanie-56-55m2-felin-ul-gen-skalskiego-CID3-IDOc6Li.html,7500,floor_3,no,primary,blok,56.55,three
3,780311306,2022-09-08T14:02:45+02:00,2022-09-10T16:08:34+02:00,549000,Lublin,http://www.olx.pl/d/oferta/apartament-50m-2pokoje-w-scislym-centrum-lublina-gotowe-do-wejscia-CID3-IDQO6Ce.html,10980,floor_2,yes,secondary,blok,50,two
4,780289108,2022-09-08T12:27:47+02:00,2022-09-10T14:36:37+02:00,299900,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-przy-parku-CID3-IDQO0Qc.html,6664.44,floor_8,no,secondary,blok,45,three
5,773244167,2022-08-05T14:05:05+02:00,2022-09-08T09:40:00+02:00,355000,Lublin,http://www.olx.pl/d/oferta/bronowice-mieszkanie-3-pok-60-mkw-bez-posrednikow-CID3-IDQks87.html,5916.67,floor_0,yes,secondary,blok,60,three
6,778455202,2022-08-30T23:30:25+02:00,2022-09-09T01:36:19+02:00,490000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-4-pokojowe-73m-CID3-IDQGjL4.html,6712.33,floor_0,yes,secondary,blok,73,four
7,780730507,2022-09-10T14:23:03+02:00,2022-09-10T14:30:06+02:00,408000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-lublin-czechow-zelazowej-woli-CID3-IDQPRFx.html,8500,floor_0,yes,secondary,blok,48,three
8,780727794,2022-09-10T14:13:29+02:00,2022-09-10T14:18:29+02:00,560000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3pok-garaz-piwnica-gesia-weglin-CID3-IDQPQXM.html,8981.56,floor_2,yes,secondary,blok,62.35,three
9,780713704,2022-09-10T13:25:18+02:00,2022-09-10T13:29:38+02:00,525000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-56-5-m2-wieniawa-oferta-prywatna-CID3-IDQPNiv.html,9292.04,floor_3,yes,secondary,blok,56.5,three
10,765994471,2022-06-30T16:49:21+02:00,2022-09-10T12:28:41+02:00,329900,Lublin,http://www.olx.pl/d/oferta/nowe-2pok-z-ogrodkiem-weglinek-ul-koralowa-czuby-CID3-IDPQ29x.html,8573.28,floor_0,no,primary,blok,38.48,two
11,760211383,2022-06-02T10:20:27+02:00,2022-09-10T12:09:13+02:00,469000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-lublin-czuby-kaczencowa-CID3-IDPrLHW.html,7810.16,floor_3,no,secondary,blok,60.05,three
12,780677837,2022-09-10T11:17:26+02:00,2022-09-10T11:21:35+02:00,469000,Lublin,http://www.olx.pl/d/oferta/wykonczone-42m2-2-pietro-blok-2022-bez-pcc-CID3-IDQPDY1.html,11166.67,floor_2,yes,secondary,blok,42,two
13,762334469,2022-06-13T14:09:56+02:00,2022-09-02T20:39:15+02:00,427000,Lublin,http://www.olx.pl/d/oferta/czechow-poludniowy-3-pok-ul-kaprysowa-bezposrednio-CID3-IDPAG1f.html,7544.17,floor_10,yes,secondary,blok,56.6,three
14,769784894,2022-07-18T22:04:23+02:00,2022-09-10T02:32:08+02:00,270000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-po-remoncie-przy-uniwersytecie-medycznym-probostwo-9-CID3-IDQ5Vdo.html,6612.78,floor_4,yes,secondary,blok,40.83,two
15,774684605,2022-08-12T18:45:44+02:00,2022-09-09T14:48:06+02:00,670000,Lublin,http://www.olx.pl/d/oferta/nowy-apartament-3-pok-10min-do-centrum-wronska-3d-z-garazem-majdanek-CID3-IDQquQZ.html,10634.92,floor_1,yes,primary,apartamentowiec,63,three
16,777633772,2022-08-27T09:07:48+02:00,2022-09-10T11:16:14+02:00,342000,Lublin,http://www.olx.pl/d/oferta/przytulne-po-generalnym-remoncie-37-42-m2-CID3-IDQCS4c.html,9139.5,floor_2,yes,secondary,blok,37.42,two
17,779750962,2022-09-05T20:17:17+02:00,2022-09-10T11:11:53+02:00,383000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-40m2-wieniawa-oferta-prywatna-CID3-IDQLKQq.html,9575,floor_3,yes,secondary,blok,40,two
18,760859782,2022-06-05T21:33:06+02:00,2022-09-10T10:50:15+02:00,470000,Lublin,http://www.olx.pl/d/oferta/w-doskonalej-lokalizacji-mieszkanie-na-lsm-CID3-IDPuunY.html,7532.05,floor_1,no,secondary,blok,62.4,four
19,773663792,2022-08-07T19:42:31+02:00,2022-09-10T10:24:38+02:00,480000,Lublin,http://www.olx.pl/d/oferta/przytulnemieszkanie-dla-rodziny-62-m2-wrotkow-CID3-IDQmdig.html,7741.94,floor_3,yes,secondary,blok,62,three
20,773086197,2022-08-04T16:07:12+02:00,2022-09-08T14:30:40+02:00,449000,Lublin,http://www.olx.pl/d/oferta/do-wejscia-2-pokoje-m-postojowe-garderoba-42-4m2-ul-wolinskiego-CID3-IDQjN2d.html,10589.62,floor_2,yes,secondary,blok,42.4,two
21,779284771,2022-09-03T19:58:58+02:00,2022-09-09T22:00:32+02:00,340000,Lublin,http://www.olx.pl/d/oferta/3-pokoje-48m-1-pietro-tumidajskiego-10-okna-pcv-oddzielna-kuchnia-CID3-IDQJNzd.html,7083.33,floor_1,yes,secondary,blok,48,three
22,765994471,2022-06-30T16:49:21+02:00,2022-09-10T12:28:41+02:00,329900,Lublin,http://www.olx.pl/d/oferta/nowe-2pok-z-ogrodkiem-weglinek-ul-koralowa-czuby-CID3-IDPQ29x.html,8573.28,floor_0,no,primary,blok,38.48,two
23,751815822,2022-04-21T22:47:13+02:00,2022-09-09T23:04:25+02:00,392000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-lsm-ul-skrzatow-CID3-IDOSxDE.html,8166.67,floor_10,yes,secondary,pozostale,48,three
24,771531574,2022-07-27T21:55:54+02:00,2022-09-07T20:13:17+02:00,349000,Lublin,http://www.olx.pl/d/oferta/idealne-mieszkanie-dla-studenta-umcs-kul-up-politechnika-CID3-IDQdgBE.html,12464.29,floor_1,yes,secondary,blok,28,one
