,id,createdTime,lastRefresh,price,location,url,price_per_m,floor_select,furniture,market,builttype,m,rooms
0,768069694,2022-07-10T21:33:12+02:00,2022-07-25T13:44:04+02:00,620000.0,Lublin,http://www.olx.pl/d/oferta/sprzedam-atrakcyjne-mieszkanie-72-m2-CID3-IDPYK0S.html,8659.22,floor_1,yes,secondary,blok,71.6,three
1,771639918,2022-07-28T15:02:10+02:00,2022-07-28T15:04:14+02:00,420000.0,Lublin,http://www.olx.pl/d/oferta/przytulne-mieszkanie-w-okazyjnej-cenie-CID3-IDQdIN8.html,6953.64,floor_4,yes,secondary,blok,60.4,three
2,761961384,2022-06-11T10:35:15+02:00,2022-07-18T19:29:03+02:00,389000.0,Lublin,http://www.olx.pl/d/oferta/3-pokoje-49-m2-centrum-ul-muzyczna-do-zrobienia-3-kawalerki-CID3-IDPz6XK.html,7938.78,,yes,secondary,blok,49,three
3,769462108,2022-07-17T13:44:18+02:00,2022-07-31T07:55:50+02:00,430000.0,Lublin,http://www.olx.pl/d/oferta/na-sprzedaz-mieszkanie-wyposazone-w-pelni-dobra-lokalizacja-CID3-IDQ4Afa.html,8600,floor_4,yes,secondary,blok,50,two
4,771733866,2022-07-29T00:04:04+02:00,2022-07-31T02:08:13+02:00,790000.0,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-szeligowskiego-8-CID3-IDQe7eq.html,12343.75,floor_9,yes,secondary,apartamentowiec,64,two
5,772014856,2022-07-30T15:42:17+02:00,2022-07-30T15:47:23+02:00,380000.0,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-w-centrum-lublina-przy-czwartek-CID3-IDQfikv.html,7600,floor_7,yes,secondary,blok,50,two
6,746524410,2022-03-28T13:22:02+02:00,2022-07-29T11:06:51+02:00,369000.0,Lublin,http://www.olx.pl/d/oferta/bez-prowizji-nowoczesne-po-remoncie-dwupokojowe-przyjazni-bezposrednio-CID3-IDOvl6i.html,8581.4,floor_3,no,secondary,blok,43,two
7,757111083,2022-05-17T21:56:31+02:00,2022-07-29T07:32:11+02:00,450000.0,Lublin,http://www.olx.pl/d/oferta/3-pokojowe-mieszkanie-czechow-poludniowy-bezposrednio-od-wlasciciela-CID3-IDPeLb5.html,7772.02,floor_3,yes,secondary,blok,57.9,three
8,764046725,2022-06-22T14:27:54+02:00,2022-07-28T21:56:14+02:00,525000.0,Lublin,http://www.olx.pl/d/oferta/wykonczone-pod-klucz-51m2-bezposrednio-czuby-CID3-IDPHRsh.html,10294.12,floor_1,yes,secondary,blok,51,three
9,724763899,2021-12-17T14:26:11+01:00,2022-07-30T15:12:16+02:00,799000.0,Lublin,http://www.olx.pl/d/oferta/wyjatkowe-dwupoziomowe-5-pokoi-115-6-m-rogatka-warszawska-slawinek-CID3-IDN32cj.html,5435.37,floor_4,yes,secondary,blok,147,four
10,765594792,2022-06-28T19:40:56+02:00,2022-07-30T15:04:05+02:00,415000.0,Lublin,http://www.olx.pl/d/oferta/trzypokojowe-mieszkanie-ul-szafirowa-na-porebie-60-1-m2-CID3-IDPOmb6.html,6905.16,floor_3,yes,secondary,blok,60.1,three
11,758324841,2022-05-23T19:22:27+02:00,2022-07-30T14:56:29+02:00,529999.0,Lublin,http://www.olx.pl/d/oferta/czuby-wysoki-standard-62-5-m2-bezposrednio-CID3-IDPjQWP.html,8479.98,floor_0,no,secondary,blok,62.5,three
12,767728613,2022-07-09T11:39:37+02:00,2022-07-30T13:52:10+02:00,1800000.0,Lublin,http://www.olx.pl/d/oferta/piekny-150m-apartament-4-pokoje-dwie-lazienki-winda-2-garaze-CID3-IDPXjhz.html,12000,floor_3,yes,secondary,blok,150,four
13,771970548,2022-07-30T12:38:32+02:00,2022-07-30T12:40:36+02:00,1200000.0,Lublin,http://www.olx.pl/d/oferta/sprzedam-apartament-w-lublinie-ul-lubartowska-68a-CID3-IDQf6NS.html,11283.5,floor_9,yes,secondary,apartamentowiec,106.35,four
14,749834699,2022-04-11T11:22:01+02:00,2022-07-24T12:29:39+02:00,490000.0,Lublin,http://www.olx.pl/d/oferta/atrakcyjne-mieszkanie-na-dziesiatej-61-47-m2-CID3-IDOKeg3.html,7971.37,floor_3,yes,secondary,blok,61.47,four
15,770198813,2022-07-20T22:57:15+02:00,2022-07-29T15:20:34+02:00,311000.0,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-30-29-m-z-ogrodkiem-38-9-m-weglin-ul-koralowa-CID3-IDQ7FTw.html,10274.2,floor_0,yes,secondary,apartamentowiec,30.27,one
16,765493293,2022-06-28T13:01:46+02:00,2022-07-29T14:13:02+02:00,499000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-lublin-srodmiescie-ul-sapiehy-i-garaz-CID3-IDPNWM1.html,8573.88,floor_2,no,secondary,blok,58.2,three
17,733564783,2022-01-29T21:30:25+01:00,2022-07-29T23:44:09+02:00,335000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-52-4m2-sprzedam-lublin-dziesiata-CID3-IDNDXI3.html,6442.31,floor_1,no,secondary,kamienica,52,two
18,769763214,2022-07-18T20:20:27+02:00,2022-07-29T13:16:48+02:00,590000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-w-metropolitan-park-lublin-CID3-IDQ5QzI.html,10651.74,floor_8,yes,secondary,apartamentowiec,55.39,two
19,770578955,2022-07-23T08:11:26+02:00,2022-07-30T10:16:17+02:00,485000.0,Lublin,http://www.olx.pl/d/oferta/3-pokoje-bursztynowa-bezposrednio-CID3-IDQ9gMP.html,7760,floor_3,yes,secondary,blok,62.5,three
20,769234586,2022-07-16T08:02:01+02:00,2022-07-30T10:08:22+02:00,639000.0,Lublin,http://www.olx.pl/d/oferta/sprzedam-bardzo-ladne-mieszkanie-ul-koralowa-74-m-CID3-IDQ3D3s.html,8602.58,floor_3,yes,secondary,blok,74.28,four
21,771938070,2022-07-30T09:54:42+02:00,2022-07-30T09:56:52+02:00,640000.0,Lublin,http://www.olx.pl/d/oferta/weglin-poludniowy-57m-wysoki-standard-CID3-IDQeYm2.html,11228.07,floor_0,yes,secondary,blok,57,three
22,694505161,2021-08-16T19:53:36+02:00,2022-07-30T09:49:31+02:00,555000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3-pok-czuby-poreba-turkusowa-CID3-IDL04v9.html,8128.3,floor_1,yes,secondary,blok,68.28,three
23,744501317,2022-03-19T16:22:12+01:00,2022-07-29T14:44:46+02:00,339000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokoje-39-m2-lublin-tumidajskiego-sprzedam-bezposrednio-CID3-IDOnQNL.html,8692.31,floor_7,no,secondary,blok,39,two
24,735288660,2022-02-06T11:12:14+01:00,2022-07-30T07:59:23+02:00,479000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3-pokoje-lsm-blisko-politechniki-60m-polecam-CID3-IDNLcav.html,7956.81,floor_4,no,secondary,blok,60.2,three
25,755635767,2022-05-10T18:13:05+02:00,2022-07-28T15:20:32+02:00,422400.0,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-CID3-IDP8znF.html,8000,floor_3,yes,secondary,blok,52.8,two
26,770576657,2022-07-23T07:24:13+02:00,2022-07-30T09:32:13+02:00,450000.0,Lublin,http://www.olx.pl/d/oferta/i-e-pietro-4-pokoje-bardzo-dobra-lokalizacja-CID3-IDQ9gbL.html,7537.69,floor_1,yes,secondary,blok,59.7,four
27,724070172,2021-12-14T12:29:49+01:00,2022-07-30T09:09:00+02:00,369000.0,Lublin,http://www.olx.pl/d/oferta/oferta-prywatna-mieszkanie-40m2-wieniawa-CID3-IDN07Ja.html,9225,floor_3,yes,secondary,blok,40,two
28,768579580,2022-07-12T22:17:45+02:00,2022-07-30T08:19:12+02:00,425000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-po-remoncie-49m2-3-pokoje-oddzielna-kuchnia-dwustronne-CID3-IDQ0SEQ.html,8673.47,floor_0,no,secondary,blok,49,three
29,760827434,2022-06-05T18:46:43+02:00,2022-07-30T02:07:20+02:00,370000.0,Lublin,http://www.olx.pl/d/oferta/czechow-checinskiego-2-pokoje-47-2m-CID3-IDPulYe.html,7838.98,floor_0,yes,secondary,blok,47.2,two
30,733564783,2022-01-29T21:30:25+01:00,2022-07-29T23:44:09+02:00,335000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-52-4m2-sprzedam-lublin-dziesiata-CID3-IDNDXI3.html,6442.31,floor_1,no,secondary,kamienica,52,two
31,768833166,2022-07-14T09:43:16+02:00,2022-07-29T22:32:26+02:00,459000.0,Lublin,http://www.olx.pl/d/oferta/sprzedam-3-pokoje-biernackiego-12a-wyposazone-miejsce-garazowe-CID3-IDQ1VCV.html,9562.5,floor_5,yes,secondary,blok,48,three
32,760859782,2022-06-05T21:33:06+02:00,2022-07-29T21:16:23+02:00,480000.0,Lublin,http://www.olx.pl/d/oferta/w-doskonalej-lokalizacji-mieszkanie-na-lsm-CID3-IDPuunY.html,7692.31,floor_1,no,secondary,blok,62.4,four
33,769316184,2022-07-16T15:37:02+02:00,2022-07-16T15:44:52+02:00,495000.0,Lublin,http://www.olx.pl/d/oferta/3-pokojowe-mieszkanie-dziewanny-do-wprowadzenia-bez-wkladu-finansowego-CID3-IDQ3Yhy.html,7994.19,floor_1,yes,secondary,blok,61.92,three
34,751815822,2022-04-21T22:47:13+02:00,2022-07-29T23:12:44+02:00,392000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-lsm-ul-skrzatow-CID3-IDOSxDE.html,8166.67,floor_10,yes,secondary,pozostale,48,three
35,743634625,2022-03-15T17:56:22+01:00,2022-07-29T18:07:19+02:00,545000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-czechow-4-pokoje-CID3-IDOkdkR.html,7475.99,floor_4,yes,secondary,blok,72.9,four
36,743927433,2022-03-17T00:39:23+01:00,2022-07-29T17:25:16+02:00,345000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-lublin-ul-okrzei-37m2-piwnica-ogloszenie-prywatne-CID3-IDOlrwz.html,9324.32,floor_2,yes,secondary,blok,37,two
37,770043036,2022-07-20T10:20:43+02:00,2022-07-20T10:22:55+02:00,419000.0,Lublin,http://www.olx.pl/d/oferta/3-rozkladowe-pokoje-blisko-uczelni-CID3-IDQ71mY.html,8692.95,floor_4,no,secondary,blok,48.2,three
38,767743928,2022-07-09T12:45:10+02:00,2022-07-26T11:50:51+02:00,289000.0,Lublin,http://www.olx.pl/d/oferta/bezposrednio-mieszkanie-2-pokoje-33m-lsm-ul-rymwida-CID3-IDPXngA.html,9031.25,floor_0,yes,secondary,blok,32,two
39,756659317,2022-05-15T21:35:17+02:00,2022-07-29T17:08:37+02:00,399000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-48-m2-kalinowszczyzna-lublin-CID3-IDPcREx.html,8278.01,floor_3,yes,secondary,blok,48.2,three
40,771837519,2022-07-29T15:56:45+02:00,2022-07-29T16:01:57+02:00,360000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-ul-lwowska-bliko-umlub-CID3-IDQeycf.html,9473.68,floor_2,yes,secondary,blok,38,two
41,761246546,2022-06-07T19:00:30+02:00,2022-07-29T15:56:17+02:00,330000.0,Lublin,http://www.olx.pl/d/oferta/mieszkanie-dwupokojowe-w-doskonalej-lokalizacji-blisko-um-ul-okrzei-CID3-IDPv706.html,8991.83,floor_9,no,secondary,blok,36.7,two
42,770198813,2022-07-20T22:57:15+02:00,2022-07-29T15:20:34+02:00,311000.0,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-30-29-m-z-ogrodkiem-38-9-m-weglin-ul-koralowa-CID3-IDQ7FTw.html,10274.2,floor_0,yes,secondary,apartamentowiec,30.27,one
43,764046725,2022-06-22T14:27:54+02:00,2022-07-28T21:56:14+02:00,525000.0,Lublin,http://www.olx.pl/d/oferta/wykonczone-pod-klucz-51m2-bezposrednio-czuby-CID3-IDPHRsh.html,10294.12,floor_1,yes,secondary,blok,51,three
