,m,build_year,location,floor,id,market,price,price_per_m2,date_created,date_lastmod,rooms,builttype,url
0,88.1,1991,lublin,floor_4,61863551,secondary,560000,6356,2021-05-18 13:31:36,2022-08-08 17:48:41,4,tenement,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-88-10-m2-srodmiescie-ID4bzxd.html
1,85.3,1980,lublin,floor_2,63299855,secondary,515000,6038,2022-07-14 09:41:57,2022-08-08 17:43:01,4,block,https://www.otodom.pl/pl/oferta/mieszkanie-85mkw4-5-pokoi-lokata-kapitalu-ID4hBbp.html
2,35.29,2022,lublin,floor_1,63335183,secondary,343190,9725,2022-07-25 14:05:40,2022-08-08 17:40:21,2,block,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-koralowa-czuby-2022-rok-budowy-ID4hKnd.html
3,52.04,1956,lublin,floor_4,63315065,secondary,459000,8820,2022-07-18 22:05:21,2022-08-08 17:04:14,2,tenement,https://www.otodom.pl/pl/oferta/srodmiescie-ul-okopowa-2-pokoje-ID4hF8J.html
4,,,,,,,,,,,,,
5,46.56,1953,lublin,floor_2,63382627,secondary,320000,6873,2022-08-08 15:23:39,2022-08-08 15:26:59,2,tenement,https://www.otodom.pl/pl/oferta/mieszkanie-dziesiata-ID4hVIr.html
6,59.89,2022,lublin,ground_floor,63282675,primary,490000,8182,2022-07-09 11:23:22,2022-08-08 15:27:37,3,apartment,https://www.otodom.pl/pl/oferta/mieszkanie-59-56m2-nowe-stan-deweloperski-ogrodek-ID4hvIj.html
7,37,1980,lublin,floor_4,63382557,secondary,329000,8892,2022-08-08 15:18:29,2022-08-08 15:20:38,2,block,https://www.otodom.pl/pl/oferta/bezposrednio-dwa-pokoje-balkon-po-remoncie-lublin-ID4hVHj.html
8,46.94,2023,lublin,floor_3,62704916,primary,347356,7400,2022-01-27 10:52:59,2022-07-31 19:01:24,2,block,https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-48-ID4f6pC.html
9,51.5,1960,lublin,ground_floor,63335134,secondary,319000,6194,2022-07-25 13:57:54,2022-08-08 13:58:33,2,block,https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-od-zaraz-bezposrednio-ID4hKmq.html
10,36,2022,lublin,ground_floor,63381639,secondary,490000,13611,2022-08-08 13:30:02,2022-08-08 13:37:21,2,block,https://www.otodom.pl/pl/oferta/designerskie-mieszkanie-z-ogrodkiem-ID4hVsw.html
11,126,1935,lublin,floor_3,62907655,secondary,850000,6746,2022-03-23 08:20:15,2022-08-08 12:50:48,6,tenement,https://www.otodom.pl/pl/oferta/127-m2-2-miejsca-postojowe-centrum-ID4fX9B.html
12,151,2008,lublin,floor_1,62891319,secondary,899000,5954,2022-03-18 11:10:27,2022-08-08 12:50:48,5,block,https://www.otodom.pl/pl/oferta/bezczynszowe-mieszkanie-z-ogrodkiem-i-garazem-ID4fSU7.html
13,131,1999,lublin,floor_3,62756501,secondary,850000,6489,2022-02-10 14:00:47,2022-08-08 12:50:45,5,block,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-na-basniowej-ID4fjPD.html
14,30,1950,lublin,floor_1,63380415,secondary,215000,7167,2022-08-08 09:33:05,2022-08-08 11:40:51,1,tenement,https://www.otodom.pl/pl/oferta/kawalerka-do-aranzacji-ID4hV8L.html
15,47.2,1976,lublin,floor_8,63296906,secondary,325000,6886,2022-07-13 13:23:15,2022-08-08 11:23:21,2,block,https://www.otodom.pl/pl/oferta/2-pokojowe-przytulne-mieszkanie-ID4hApQ.html
16,53.1,1978,lublin,floor_1,63380732,secondary,499000,9397,2022-08-08 10:54:55,2022-08-08 12:05:32,3,block,https://www.otodom.pl/pl/oferta/czechow-3-pokoje-do-wejscia-ID4hVdS.html
17,47.2,1976,lublin,floor_8,63002639,secondary,325000,6886,2022-04-20 16:13:52,2022-08-08 11:15:37,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-47m2-piwnica-kalina-ID4glRB.html
