,m,build_year,location,floor,id,market,price,price_per_m2,date_created,date_lastmod,rooms,builttype,url
0,70.9,1995,lublin,floor_1,63253039,secondary,630000,8886,2022-07-01 00:13:38,2022-07-31 00:15:29,3,apartment,https://www.otodom.pl/pl/oferta/3pok-mieszkanie-w-apartamentowcu-slawin-lublin-ID4hp0j.html
1,113.08,2022,lublin,floor_higher_10,63252880,primary,1300000,11496,2022-06-30 22:35:13,2022-07-30 22:45:07,5,apartment,https://www.otodom.pl/pl/oferta/apartament-o-pow-113-08-m2-ul-polnocna-dwie-wieze-ID4hoXK.html
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,46.9,1965,lublin,floor_1,63354122,secondary,410000,8742,2022-07-30 19:15:52,2022-07-30 19:16:25,2,block,https://www.otodom.pl/pl/oferta/optymalny-metraz-osiedle-zamkniete-centrum-ID4hPiG.html
5,49.6,1961,lublin,floor_1,63354091,secondary,420000,8468,2022-07-30 18:48:44,2022-07-30 18:49:08,2,tenement,https://www.otodom.pl/pl/oferta/dwupokojowe-wygodne-mieszkanie-w-centrum-miasta-ID4hPib.html
6,60.78,1990,lublin,ground_floor,63354075,secondary,525000,8638,2022-07-30 18:39:36,2022-07-30 18:39:57,3,block,https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-na-czubach-ID4hPhW.html
7,48.2,1981,lublin,floor_5,63305538,secondary,400000,8299,2022-07-15 14:15:26,2022-07-30 14:36:40,3,block,https://www.otodom.pl/pl/oferta/bliski-czechow-paganiniego-9-ID4hCF4.html
8,54.5,2000,lublin,floor_2,62695723,secondary,479000,8789,2022-01-24 22:05:11,2022-07-30 14:18:01,2,block,https://www.otodom.pl/pl/oferta/slawinek-przestronne-2-pokojowe-mieszkanie-ID4f41l.html
9,48,1985,lublin,floor_5,63330185,secondary,469000,9771,2022-07-22 18:15:41,2022-07-30 14:20:57,3,block,https://www.otodom.pl/pl/oferta/nowoczesne-3-pokoje-przy-politechnice-lubelskiej-ID4hJ4B.html
10,27,1979,lublin,floor_9,63082554,secondary,289000,10704,2022-05-14 11:55:23,2022-07-30 14:14:57,1,block,https://www.otodom.pl/pl/oferta/lsm-kawalerka-z-pieknym-widokiem-ID4gGEy.html
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,35.1,1970,lublin,floor_4,63304055,secondary,329000,9373,2022-07-15 10:23:45,2022-07-30 10:24:35,2,block,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-przy-ul-przyjazni-ID4hCh9.html
19,51,2022,lublin,floor_1,63202324,secondary,525000,10294,2022-06-17 00:44:05,2022-07-28 11:32:41,3,block,https://www.otodom.pl/pl/oferta/wykonczone-pod-klucz-51m2-bezposrednio-czuby-ID4hbOk.html
20,,,,,,,,,,,,,
21,52.97,2024,lublin,floor_2,63154345,primary,604000,11403,2022-06-02 13:04:17,2022-07-11 19:00:41,3,block,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-centrum-prusa-twins-m12-ID4gZkt.html
22,33.53,2024,lublin,floor_2,63154824,primary,424500,12660,2022-06-02 14:16:00,2022-07-20 08:46:02,1,block,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-centrum-prusa-twins-m9-ID4gZsc.html
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,67,2007,lublin,floor_3,62964716,secondary,520000,7761,2022-04-07 20:15:06,2022-07-11 19:47:46,3,block,https://www.otodom.pl/pl/oferta/trojstronne-ok-80-metrow-lokum-botanik-slawin-ID4gbZV.html
26,38,2008,lublin,ground_floor,63307911,secondary,350000,9211,2022-07-16 10:02:34,2022-07-30 09:34:42,2,block,https://www.otodom.pl/pl/oferta/kawalerka-na-parterze-duzy-balkon-sloneczny-dom-ID4hDhl.html
27,,,,,,,,,,,,,
28,41.18,2021,lublin,floor_3,62750773,secondary,442000,10733,2022-02-09 10:33:37,2022-07-25 14:10:14,2,block,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-na-weglinie-ID4filf.html
29,54.55,2021,lublin,floor_4,62868921,secondary,600000,10999,2022-03-12 00:18:12,2022-07-18 19:07:05,3,block,https://www.otodom.pl/pl/oferta/lublin-ul-startowa-3p-54-55-mkw-ID4fN4R.html
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,39,1976,lublin,floor_7,63303554,secondary,320000,8205,2022-07-15 00:44:58,2022-07-30 00:53:41,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-ul-krancowa-gotowe-do-zamieszkania-ID4hC94.html
34,,,,,,,,,,,,,
35,47.6,1992,lublin,floor_4,63352788,secondary,364000,7647,2022-07-29 20:51:04,2022-07-29 21:33:31,2,block,https://www.otodom.pl/pl/oferta/lublin-czuby-2-pokoje-ul-bursztynowa-przy-wawozie-ID4hOXa.html
36,88.1,1930,lublin,floor_4,63191320,secondary,619000,7026,2022-06-13 09:53:21,2022-07-29 18:46:00,4,block,https://www.otodom.pl/pl/oferta/przepiekny-apartament-czwarte-pietro-probostwo-ID4h8VQ.html
37,84,1980,lublin,floor_4,61471004,secondary,510000,6071,2021-02-04 11:32:08,2022-07-29 18:48:09,4,block,https://www.otodom.pl/pl/oferta/mieszkanie-dla-rodziny-84-m2-4-pokoje-czechow-ID49WpO.html
38,,,,,,,,,,,,,
39,32.5,2013,lublin,ground_floor,63329090,secondary,289000,8892,2022-07-22 14:33:16,2022-07-31 07:02:16,1,block,https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-z-duzym-balkonem-bronowice-ID4hIMV.html
40,28,1965,lublin,floor_4,63346831,secondary,279000,9964,2022-07-28 12:20:56,2022-07-30 13:55:17,1,block,https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-wieniawa-ID4hNp5.html
41,,,,,,,,,,,,,
42,24,1980,lublin,ground_floor,63346791,secondary,259000,10792,2022-07-28 12:13:52,2022-07-29 16:44:23,1,block,https://www.otodom.pl/pl/oferta/kawalerka-lsm-ID4hNor.html
43,63.3,1987,lublin,floor_2,63263509,secondary,495000,7820,2022-07-04 18:51:03,2022-07-29 15:42:04,3,block,https://www.otodom.pl/pl/oferta/czechow-gorczanska-3-pokoje-63m2-2-pietro-ID4hrJb.html
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,61,1993,lublin,floor_4,63283088,secondary,365000,5984,2022-07-09 15:06:56,2022-07-29 15:38:39,3,block,https://www.otodom.pl/pl/oferta/czechow-3-pokoje-blisko-uczelni-5-984-zl-m-ID4hvOY.html
47,,,,,,,,,,,,,
48,36,1980,lublin,floor_3,63277288,secondary,336000,9333,2022-07-07 19:33:05,2022-07-29 14:30:48,1,block,https://www.otodom.pl/pl/oferta/czuby-ul-sympatyczna-blisko-uczelni-ID4hwjq.html
49,60,2019,lublin,floor_5,63193149,secondary,845000,14083,2022-06-13 14:19:23,2022-07-29 14:33:21,3,block,https://www.otodom.pl/pl/oferta/unikatowy-apartament-z-tarasem-widokowym-60-m-film-ID4h9ql.html
50,,,,,,,,,,,,,
51,29,1920,lublin,floor_1,63300904,secondary,174000,6000,2022-07-14 12:55:07,2022-07-29 13:55:50,1,tenement,https://www.otodom.pl/pl/oferta/jednopokojowe-do-wejscia-udzialy-ID4hBsk.html
52,,,,,,,,,,,,,
53,45.69,1970,lublin,floor_1,63303271,secondary,455000,9958,2022-07-14 21:55:19,2022-07-29 13:55:47,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-1-pietro-super-aranzacja-niski-blok-ID4hC4w.html
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,82.91,2017,lublin,floor_3,63115737,secondary,860000,10373,2022-05-23 14:52:34,2022-07-29 13:11:21,3,block,https://www.otodom.pl/pl/oferta/piekny-apartament-na-czubach-ID4gPhL.html
57,57.53,2015,lublin,floor_4,63297510,secondary,575000,9995,2022-07-13 14:55:32,2022-07-29 13:03:14,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-wysoki-standard-winda-super-uklad-ID4hAzA.html
58,61.2,1975,lublin,floor_10,63350683,secondary,459000,7500,2022-07-29 12:53:39,2022-07-29 12:59:49,4,block,https://www.otodom.pl/pl/oferta/4-pokoje-rozklad-ciekawy-design-widoki-winda-ID4hOpd.html
