,m,build_year,location,floor,id,market,price,price_per_m2,date_created,date_lastmod,rooms,builttype
0,,,,,,,,,,,,
1,58.31,2022,lublin,ground_floor,63181816,primary,440000,7546,2022-06-09 15:15:07,2022-07-24 15:40:59,3,block
2,,,,,,,,,,,,
3,135.67,1995,lublin,floor_2,63285644,secondary,599000,4415,2022-07-10 21:39:14,2022-07-24 14:30:41,6,block
4,71.1,2012,lublin,floor_3,63271814,secondary,680000,9564,2022-07-06 15:57:05,2022-07-24 14:32:38,3,block
5,,,,,,,,,,,,
6,58.05,2023,lublin,floor_3,62697088,primary,476010,8200,2022-01-25 12:41:08,2022-07-24 14:15:28,3,block
7,34.9,2023,lublin,floor_3,62697095,primary,296650,8500,2022-01-25 12:42:42,2022-07-24 14:15:28,2,block
8,66,1998,lublin,floor_3,63284677,secondary,590000,8939,2022-07-10 14:29:03,2022-07-24 14:31:36,3,block
9,87.1,1994,lublin,floor_4,63284638,secondary,521000,5982,2022-07-10 14:06:24,2022-07-24 14:08:40,4,block
10,34.9,2023,lublin,floor_2,62697235,primary,293160,8400,2022-01-25 12:57:04,2022-07-24 14:15:30,2,block
11,58.05,2023,lublin,floor_2,62697231,primary,470205,8100,2022-01-25 12:54:24,2022-07-24 14:15:30,3,block
12,60.53,2023,lublin,floor_3,62697069,primary,490293,8100,2022-01-25 12:38:05,2022-07-24 14:00:41,3,block
13,60.6,1984,lublin,ground_floor,63284437,secondary,497000,8201,2022-07-10 12:06:11,2022-07-24 12:14:23,4,block
14,61.1,1979,lublin,floor_4,63232287,secondary,499000,8167,2022-06-24 22:05:20,2022-06-24 22:46:26,3,block
15,38,2021,lublin,ground_floor,63186022,secondary,320000,8421,2022-06-10 14:51:48,2022-07-21 13:52:24,2,block
16,50.91,2020,lublin,ground_floor,63190508,secondary,580000,11393,2022-06-12 19:33:49,2022-07-22 19:36:32,3,block
17,,,,,,,,,,,,
18,60,2008,lublin,floor_3,63131621,secondary,459000,7650,2022-05-27 10:55:10,2022-07-09 18:36:37,3,block
19,62.8,1988,lublin,floor_4,63080948,secondary,480000,7643,2022-05-13 17:03:14,2022-07-18 20:23:16,3,block
20,52,1988,lublin,ground_floor,63133154,secondary,514800,9900,2022-05-27 14:30:07,2022-07-16 19:52:51,3,block
21,38.21,1957,lublin,floor_4,63015785,secondary,399000,10442,2022-04-25 10:52:24,2022-07-24 11:30:38,2,block
22,,,,,,,,,,,,
23,23.84,1950,lublin,ground_floor,62891123,secondary,230000,9648,2022-03-18 10:30:59,2022-07-19 14:23:19,1,tenement
24,,,,,,,,,,,,
25,70.94,2022,lublin,floor_2,62931060,primary,610000,8599,2022-03-29 17:50:44,2022-07-15 16:41:25,3,apartment
26,83,2006,lublin,floor_3,62753810,secondary,569000,6855,2022-02-09 18:20:12,2022-07-22 11:54:18,4,block
27,57.53,2015,lublin,floor_4,62575539,secondary,575000,9995,2021-12-12 16:02:06,2022-07-24 09:41:20,3,block
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,27,1967,lublin,floor_2,63131776,secondary,235000,8704,2022-05-27 11:24:19,2022-06-27 13:43:23,1,block
31,43.41,2022,lublin,ground_floor,62646533,primary,360303,8300,2022-01-11 08:53:00,2022-07-18 19:01:14,2,block
32,49.56,2001,lublin,floor_1,63032050,secondary,415000,8374,2022-04-29 07:55:05,2022-07-19 11:55:50,2,block
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,167,1997,lublin,floor_3,63300435,secondary,829000,4964,2022-07-14 11:45:28,2022-07-23 21:09:34,7,house
37,63,1980,lublin,floor_4,62945528,secondary,447000,7095,2022-04-02 18:45:34,2022-07-23 20:56:59,3,block
38,28,2021,lublin,ground_floor,63331788,secondary,334700,11954,2022-07-23 20:30:44,2022-07-23 20:55:21,1,apartment
39,56,2006,lublin,ground_floor,63283278,secondary,500000,8929,2022-07-09 17:42:09,2022-07-23 17:44:13,2,block
40,72.6,1935,lublin,floor_3,62694435,secondary,675000,9298,2022-01-24 16:21:07,2022-07-23 17:45:19,3,tenement
41,44.2,1974,lublin,floor_4,63331165,secondary,435000,9842,2022-07-23 11:55:25,2022-07-23 17:33:39,3,block
42,48.2,1974,lublin,floor_3,63331431,secondary,399000,8278,2022-07-23 14:55:11,2022-07-23 17:34:39,3,block
43,51,1980,lublin,floor_2,63281260,secondary,448000,8784,2022-07-08 17:27:02,2022-07-23 17:28:35,3,block
44,61,1993,lublin,floor_4,63283088,secondary,365000,5984,2022-07-09 15:06:56,2022-07-23 15:09:17,3,block
45,49,1985,lublin,floor_3,63278711,secondary,340000,6939,2022-07-08 11:13:09,2022-07-23 14:16:57,2,block
46,54.63,2014,lublin,floor_2,63225422,secondary,439000,8036,2022-06-23 11:16:00,2022-07-23 11:30:56,2,block
47,65.5,2010,lublin,ground_floor,63330870,secondary,685000,10458,2022-07-23 02:19:12,2022-07-24 11:27:38,3,apartment
48,53.03,2023,lublin,floor_3,62691483,primary,440149,8300,2022-01-24 08:36:57,2022-07-23 10:00:12,3,block
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,49.3,2022,lublin,floor_4,63278351,secondary,530000,10751,2022-07-08 09:50:10,2022-07-23 09:51:11,3,block
52,,,,,,,,,,,,
53,40.08,2024,lublin,floor_2,62759422,primary,316632,7900,2022-02-11 09:09:41,2022-07-23 10:00:56,2,block
54,,,,,,,,,,,,
55,39.76,2024,lublin,floor_2,62759421,primary,314104,7900,2022-02-11 09:09:25,2022-07-24 09:00:50,2,block
56,67.33,1964,lublin,ground_floor,62833744,secondary,484000,7188,2022-03-02 16:10:08,2022-07-09 10:10:46,3,block
57,82,1997,lublin,floor_3,62642227,secondary,535000,6524,2022-01-10 08:55:12,2022-07-09 10:15:11,4,block
58,47.8,1993,lublin,floor_1,62871427,secondary,369000,7720,2022-03-13 13:54:57,2022-07-17 18:25:27,2,block
59,63.65,1993,lublin,floor_4,62621750,secondary,475000,7463,2022-01-02 18:44:11,2022-07-22 09:08:02,3,block
60,60.2,1985,lublin,floor_3,62837480,secondary,437000,7259,2022-03-03 13:27:28,2022-07-22 15:34:43,4,block
61,53.6,2014,lublin,floor_2,62666322,secondary,520000,9701,2022-01-16 18:15:20,2022-07-22 11:16:07,3,block
62,,,,,,,,,,,,
63,63.59,2023,lublin,floor_3,62691503,primary,527797,8300,2022-01-24 08:45:50,2022-07-23 10:15:07,3,block
64,59.91,2022,lublin,floor_2,61703825,primary,509235,8500,2021-04-06 16:41:47,2022-07-18 19:02:42,3,block
65,51.73,2021,lublin,floor_4,63330762,secondary,610414,11800,2022-07-22 23:55:26,2022-07-24 09:39:34,2,apartment
66,41,1970,lublin,floor_10,63130275,secondary,379000,9244,2022-05-26 17:31:45,2022-07-19 10:16:16,2,block
67,40.69,2024,lublin,floor_2,62759423,primary,321451,7900,2022-02-11 09:09:54,2022-07-23 10:00:41,2,block
68,44,1950,lublin,floor_4,63224644,secondary,370000,8409,2022-06-23 07:25:03,2022-07-23 07:30:08,2,block
69,70.95,2020,lublin,floor_3,63330722,secondary,650000,9161,2022-07-22 22:55:13,2022-07-22 23:01:19,3,block
70,,,,,,,,,,,,
71,62,1976,lublin,floor_10,63326114,secondary,435000,7016,2022-07-21 16:03:43,2022-07-22 20:03:02,4,block
72,33,2005,lublin,floor_3,63329667,secondary,299000,9061,2022-07-22 16:05:35,2022-07-22 20:25:09,1,block
73,37,1976,lublin,floor_9,63325993,secondary,348000,9405,2022-07-21 15:44:42,2022-07-22 20:03:05,2,block
74,77.05,2022,lublin,ground_floor,62804932,primary,589432,7650,2022-02-22 17:40:51,2022-07-23 09:00:54,4,apartment
75,50,2001,lublin,floor_1,63279157,secondary,389000,7780,2022-07-08 12:30:54,2022-07-23 15:05:16,2,block
76,56,2013,lublin,floor_1,63271147,secondary,575000,10268,2022-07-06 14:21:40,2022-07-24 17:05:17,3,block
77,48,1980,lublin,floor_6,63271721,secondary,384000,8000,2022-07-06 15:45:09,2022-07-23 15:05:18,2,block
78,67,2010,lublin,floor_1,63272133,secondary,569000,8493,2022-07-06 16:42:19,2022-07-23 15:05:17,3,block
79,27.46,2022,lublin,floor_5,63276642,secondary,346000,12600,2022-07-07 16:26:25,2022-07-22 19:27:39,1,block
80,43.12,2022,lublin,ground_floor,63329721,primary,409640,9500,2022-07-22 16:14:32,2022-07-22 16:16:49,2,apartment
81,67.33,2022,lublin,floor_1,63329686,primary,605970,9000,2022-07-22 16:10:05,2022-07-22 16:11:54,4,apartment
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,47.2,1978,lublin,floor_6,63312773,secondary,330000,6992,2022-07-18 13:11:28,2022-07-22 15:18:55,2,block
85,,,,,,,,,,,,
86,61.03,2022,lublin,floor_1,63326467,primary,396695,6500,2022-07-21 17:21:33,2022-07-23 15:11:53,4,apartment
87,84.42,1976,lublin,floor_4,63324643,secondary,689000,8162,2022-07-21 12:10:41,2022-07-22 15:11:53,3,block
88,53.06,2022,lublin,floor_3,63325503,primary,344890,6500,2022-07-21 14:21:32,2022-07-23 15:12:18,3,apartment
89,55.12,2022,lublin,floor_2,63325499,primary,358280,6500,2022-07-21 14:21:19,2022-07-23 15:13:31,3,apartment
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,63.29,2015,lublin,floor_2,63240199,secondary,630000,9954,2022-06-28 09:21:38,2022-07-22 13:53:13,4,block
97,,,,,,,,,,,,
98,69.5,2015,lublin,floor_3,63199135,secondary,599000,8619,2022-06-15 10:27:22,2022-07-22 13:11:15,3,block
99,,,,,,,,,,,,
100,90.7,2023,lublin,floor_6,63172433,primary,1405850,15500,2022-06-07 16:12:51,2022-07-22 12:43:52,4,apartment
101,72.19,1977,lublin,floor_2,63160515,secondary,675000,9350,2022-06-03 18:47:07,2022-07-22 14:33:11,4,block
102,,,,,,,,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,,
105,62.8,2023,lublin,floor_6,63182422,primary,954560,15200,2022-06-09 17:12:42,2022-07-22 12:43:16,3,apartment
106,,,,,,,,,,,,
107,76.2,2023,lublin,floor_7,63167371,primary,1203960,15800,2022-06-06 15:12:42,2022-07-22 12:44:02,3,apartment
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,142.1,2023,lublin,floor_7,63167370,primary,2259390,15900,2022-06-06 15:12:36,2022-07-22 12:45:08,4,apartment
111,,,,,,,,,,,,
112,47.4,2022,lublin,ground_floor,61687476,primary,383940,8100,2021-03-31 13:51:05,2022-07-22 11:22:29,3,block
113,,,,,,,,,,,,
114,31.93,2023,lublin,floor_1,62687237,primary,271405,8500,2022-01-21 18:41:18,2022-07-22 11:23:27,1,block
115,48.9,1984,lublin,floor_2,63327974,secondary,410000,8384,2022-07-22 11:11:20,2022-07-22 11:18:14,2,block
116,64,2021,lublin,floor_2,63327953,secondary,535000,8359,2022-07-22 11:10:01,2022-07-24 11:10:52,3,block
